연번,위치주소(지번 비공개),조사년도,빈집유형,주택유형,철거 또는 활용동의,관리부서,데이터기준일자,위도,경도,좌표정확도,읍면,인구수,유동인구수준(추정),유동인구순위(추정),관광명소수,카페밀도,학교수,마트수,편의점수,학교목록,관광명소목록,학교좌표,관광명소좌표,주거점수,카페소품샵점수,게스트하우스펜션점수,식당베이커리점수,1위용도,1위용도근거
11,전라남도 담양군 담양읍 오계리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.30517101162,126.994031751105,정확(리 단위),담양읍,15532,상,1/12위,44,4.39,8,5,18,"담양남초등학교, 담양동초등학교, 국립목포대학교 담양캠퍼스, 담양중학교, 담양고등학교","죽녹원, 메타프로방스, 담양국수거리, 메타세쿼이아길 인증센터, 메타세쿼이아랜드",담양남초등학교|35.3181604826574|126.986574791542;;담양동초등학교|35.3210047077135|126.98342465375;;국립목포대학교 담양캠퍼스|35.32760684903847|126.99050073614369;;담양중학교|35.316349851112|126.980993108595;;담양고등학교|35.3144677552007|126.980333755453,죽녹원|35.32783714533351|126.98593088715316;;메타프로방스|35.32204414727564|127.00291216021685;;담양국수거리|35.32384052865535|126.9851144410004;;메타세쿼이아길 인증센터|35.33409191544845|127.0177791322334;;메타세쿼이아랜드|35.3320063558634|127.016894361298,100.0,89.1,66.7,89.1,주거,"주거 점수가 가장 높습니다 (학교 수 8, 마트 수 5 기준)"
12,전라남도 담양군 담양읍 오계리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.30517101162,126.994031751105,정확(리 단위),담양읍,15532,상,1/12위,44,4.39,8,5,18,"담양남초등학교, 담양동초등학교, 국립목포대학교 담양캠퍼스, 담양중학교, 담양고등학교","죽녹원, 메타프로방스, 담양국수거리, 메타세쿼이아길 인증센터, 메타세쿼이아랜드",담양남초등학교|35.3181604826574|126.986574791542;;담양동초등학교|35.3210047077135|126.98342465375;;국립목포대학교 담양캠퍼스|35.32760684903847|126.99050073614369;;담양중학교|35.316349851112|126.980993108595;;담양고등학교|35.3144677552007|126.980333755453,죽녹원|35.32783714533351|126.98593088715316;;메타프로방스|35.32204414727564|127.00291216021685;;담양국수거리|35.32384052865535|126.9851144410004;;메타세쿼이아길 인증센터|35.33409191544845|127.0177791322334;;메타세쿼이아랜드|35.3320063558634|127.016894361298,100.0,89.1,66.7,89.1,주거,"주거 점수가 가장 높습니다 (학교 수 8, 마트 수 5 기준)"
13,전라남도 담양군 담양읍 오계리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.30517101162,126.994031751105,정확(리 단위),담양읍,15532,상,1/12위,44,4.39,8,5,18,"담양남초등학교, 담양동초등학교, 국립목포대학교 담양캠퍼스, 담양중학교, 담양고등학교","죽녹원, 메타프로방스, 담양국수거리, 메타세쿼이아길 인증센터, 메타세쿼이아랜드",담양남초등학교|35.3181604826574|126.986574791542;;담양동초등학교|35.3210047077135|126.98342465375;;국립목포대학교 담양캠퍼스|35.32760684903847|126.99050073614369;;담양중학교|35.316349851112|126.980993108595;;담양고등학교|35.3144677552007|126.980333755453,죽녹원|35.32783714533351|126.98593088715316;;메타프로방스|35.32204414727564|127.00291216021685;;담양국수거리|35.32384052865535|126.9851144410004;;메타세쿼이아길 인증센터|35.33409191544845|127.0177791322334;;메타세쿼이아랜드|35.3320063558634|127.016894361298,100.0,89.1,66.7,89.1,주거,"주거 점수가 가장 높습니다 (학교 수 8, 마트 수 5 기준)"
14,전라남도 담양군 담양읍 학동리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.3209620997338,127.010773089645,정확(리 단위),담양읍,15532,상,1/12위,44,4.39,8,5,18,"담양남초등학교, 담양동초등학교, 국립목포대학교 담양캠퍼스, 담양중학교, 담양고등학교","죽녹원, 메타프로방스, 담양국수거리, 메타세쿼이아길 인증센터, 메타세쿼이아랜드",담양남초등학교|35.3181604826574|126.986574791542;;담양동초등학교|35.3210047077135|126.98342465375;;국립목포대학교 담양캠퍼스|35.32760684903847|126.99050073614369;;담양중학교|35.316349851112|126.980993108595;;담양고등학교|35.3144677552007|126.980333755453,죽녹원|35.32783714533351|126.98593088715316;;메타프로방스|35.32204414727564|127.00291216021685;;담양국수거리|35.32384052865535|126.9851144410004;;메타세쿼이아길 인증센터|35.33409191544845|127.0177791322334;;메타세쿼이아랜드|35.3320063558634|127.016894361298,100.0,89.1,66.7,89.1,주거,"주거 점수가 가장 높습니다 (학교 수 8, 마트 수 5 기준)"
15,전라남도 담양군 담양읍 학동리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.3209620997338,127.010773089645,정확(리 단위),담양읍,15532,상,1/12위,44,4.39,8,5,18,"담양남초등학교, 담양동초등학교, 국립목포대학교 담양캠퍼스, 담양중학교, 담양고등학교","죽녹원, 메타프로방스, 담양국수거리, 메타세쿼이아길 인증센터, 메타세쿼이아랜드",담양남초등학교|35.3181604826574|126.986574791542;;담양동초등학교|35.3210047077135|126.98342465375;;국립목포대학교 담양캠퍼스|35.32760684903847|126.99050073614369;;담양중학교|35.316349851112|126.980993108595;;담양고등학교|35.3144677552007|126.980333755453,죽녹원|35.32783714533351|126.98593088715316;;메타프로방스|35.32204414727564|127.00291216021685;;담양국수거리|35.32384052865535|126.9851144410004;;메타세쿼이아길 인증센터|35.33409191544845|127.0177791322334;;메타세쿼이아랜드|35.3320063558634|127.016894361298,100.0,89.1,66.7,89.1,주거,"주거 점수가 가장 높습니다 (학교 수 8, 마트 수 5 기준)"
16,전라남도 담양군 담양읍 학동리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.3209620997338,127.010773089645,정확(리 단위),담양읍,15532,상,1/12위,44,4.39,8,5,18,"담양남초등학교, 담양동초등학교, 국립목포대학교 담양캠퍼스, 담양중학교, 담양고등학교","죽녹원, 메타프로방스, 담양국수거리, 메타세쿼이아길 인증센터, 메타세쿼이아랜드",담양남초등학교|35.3181604826574|126.986574791542;;담양동초등학교|35.3210047077135|126.98342465375;;국립목포대학교 담양캠퍼스|35.32760684903847|126.99050073614369;;담양중학교|35.316349851112|126.980993108595;;담양고등학교|35.3144677552007|126.980333755453,죽녹원|35.32783714533351|126.98593088715316;;메타프로방스|35.32204414727564|127.00291216021685;;담양국수거리|35.32384052865535|126.9851144410004;;메타세쿼이아길 인증센터|35.33409191544845|127.0177791322334;;메타세쿼이아랜드|35.3320063558634|127.016894361298,100.0,89.1,66.7,89.1,주거,"주거 점수가 가장 높습니다 (학교 수 8, 마트 수 5 기준)"
17,전라남도 담양군 담양읍 학동리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.3209620997338,127.010773089645,정확(리 단위),담양읍,15532,상,1/12위,44,4.39,8,5,18,"담양남초등학교, 담양동초등학교, 국립목포대학교 담양캠퍼스, 담양중학교, 담양고등학교","죽녹원, 메타프로방스, 담양국수거리, 메타세쿼이아길 인증센터, 메타세쿼이아랜드",담양남초등학교|35.3181604826574|126.986574791542;;담양동초등학교|35.3210047077135|126.98342465375;;국립목포대학교 담양캠퍼스|35.32760684903847|126.99050073614369;;담양중학교|35.316349851112|126.980993108595;;담양고등학교|35.3144677552007|126.980333755453,죽녹원|35.32783714533351|126.98593088715316;;메타프로방스|35.32204414727564|127.00291216021685;;담양국수거리|35.32384052865535|126.9851144410004;;메타세쿼이아길 인증센터|35.33409191544845|127.0177791322334;;메타세쿼이아랜드|35.3320063558634|127.016894361298,100.0,89.1,66.7,89.1,주거,"주거 점수가 가장 높습니다 (학교 수 8, 마트 수 5 기준)"
18,전라남도 담양군 담양읍 학동리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.3209620997338,127.010773089645,정확(리 단위),담양읍,15532,상,1/12위,44,4.39,8,5,18,"담양남초등학교, 담양동초등학교, 국립목포대학교 담양캠퍼스, 담양중학교, 담양고등학교","죽녹원, 메타프로방스, 담양국수거리, 메타세쿼이아길 인증센터, 메타세쿼이아랜드",담양남초등학교|35.3181604826574|126.986574791542;;담양동초등학교|35.3210047077135|126.98342465375;;국립목포대학교 담양캠퍼스|35.32760684903847|126.99050073614369;;담양중학교|35.316349851112|126.980993108595;;담양고등학교|35.3144677552007|126.980333755453,죽녹원|35.32783714533351|126.98593088715316;;메타프로방스|35.32204414727564|127.00291216021685;;담양국수거리|35.32384052865535|126.9851144410004;;메타세쿼이아길 인증센터|35.33409191544845|127.0177791322334;;메타세쿼이아랜드|35.3320063558634|127.016894361298,100.0,89.1,66.7,89.1,주거,"주거 점수가 가장 높습니다 (학교 수 8, 마트 수 5 기준)"
19,전라남도 담양군 담양읍 학동리,2022,철거형,단독주택,미동의,도시과,2023-05-15,35.3209620997338,127.010773089645,정확(리 단위),담양읍,15532,상,1/12위,44,4.39,8,5,18,"담양남초등학교, 담양동초등학교, 국립목포대학교 담양캠퍼스, 담양중학교, 담양고등학교","죽녹원, 메타프로방스, 담양국수거리, 메타세쿼이아길 인증센터, 메타세쿼이아랜드",담양남초등학교|35.3181604826574|126.986574791542;;담양동초등학교|35.3210047077135|126.98342465375;;국립목포대학교 담양캠퍼스|35.32760684903847|126.99050073614369;;담양중학교|35.316349851112|126.980993108595;;담양고등학교|35.3144677552007|126.980333755453,죽녹원|35.32783714533351|126.98593088715316;;메타프로방스|35.32204414727564|127.00291216021685;;담양국수거리|35.32384052865535|126.9851144410004;;메타세쿼이아길 인증센터|35.33409191544845|127.0177791322334;;메타세쿼이아랜드|35.3320063558634|127.016894361298,100.0,89.1,66.7,89.1,주거,"주거 점수가 가장 높습니다 (학교 수 8, 마트 수 5 기준)"
20,전라남도 담양군 담양읍 학동리,2022,활용형,단독주택,동의,도시과,2023-05-15,35.3209620997338,127.010773089645,정확(리 단위),담양읍,15532,상,1/12위,44,4.39,8,5,18,"담양남초등학교, 담양동초등학교, 국립목포대학교 담양캠퍼스, 담양중학교, 담양고등학교","죽녹원, 메타프로방스, 담양국수거리, 메타세쿼이아길 인증센터, 메타세쿼이아랜드",담양남초등학교|35.3181604826574|126.986574791542;;담양동초등학교|35.3210047077135|126.98342465375;;국립목포대학교 담양캠퍼스|35.32760684903847|126.99050073614369;;담양중학교|35.316349851112|126.980993108595;;담양고등학교|35.3144677552007|126.980333755453,죽녹원|35.32783714533351|126.98593088715316;;메타프로방스|35.32204414727564|127.00291216021685;;담양국수거리|35.32384052865535|126.9851144410004;;메타세쿼이아길 인증센터|35.33409191544845|127.0177791322334;;메타세쿼이아랜드|35.3320063558634|127.016894361298,100.0,89.1,66.7,89.1,주거,"주거 점수가 가장 높습니다 (학교 수 8, 마트 수 5 기준)"
21,전라남도 담양군 담양읍 학동리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.3209620997338,127.010773089645,정확(리 단위),담양읍,15532,상,1/12위,44,4.39,8,5,18,"담양남초등학교, 담양동초등학교, 국립목포대학교 담양캠퍼스, 담양중학교, 담양고등학교","죽녹원, 메타프로방스, 담양국수거리, 메타세쿼이아길 인증센터, 메타세쿼이아랜드",담양남초등학교|35.3181604826574|126.986574791542;;담양동초등학교|35.3210047077135|126.98342465375;;국립목포대학교 담양캠퍼스|35.32760684903847|126.99050073614369;;담양중학교|35.316349851112|126.980993108595;;담양고등학교|35.3144677552007|126.980333755453,죽녹원|35.32783714533351|126.98593088715316;;메타프로방스|35.32204414727564|127.00291216021685;;담양국수거리|35.32384052865535|126.9851144410004;;메타세쿼이아길 인증센터|35.33409191544845|127.0177791322334;;메타세쿼이아랜드|35.3320063558634|127.016894361298,100.0,89.1,66.7,89.1,주거,"주거 점수가 가장 높습니다 (학교 수 8, 마트 수 5 기준)"
22,전라남도 담양군 담양읍 학동리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.3209620997338,127.010773089645,정확(리 단위),담양읍,15532,상,1/12위,44,4.39,8,5,18,"담양남초등학교, 담양동초등학교, 국립목포대학교 담양캠퍼스, 담양중학교, 담양고등학교","죽녹원, 메타프로방스, 담양국수거리, 메타세쿼이아길 인증센터, 메타세쿼이아랜드",담양남초등학교|35.3181604826574|126.986574791542;;담양동초등학교|35.3210047077135|126.98342465375;;국립목포대학교 담양캠퍼스|35.32760684903847|126.99050073614369;;담양중학교|35.316349851112|126.980993108595;;담양고등학교|35.3144677552007|126.980333755453,죽녹원|35.32783714533351|126.98593088715316;;메타프로방스|35.32204414727564|127.00291216021685;;담양국수거리|35.32384052865535|126.9851144410004;;메타세쿼이아길 인증센터|35.33409191544845|127.0177791322334;;메타세쿼이아랜드|35.3320063558634|127.016894361298,100.0,89.1,66.7,89.1,주거,"주거 점수가 가장 높습니다 (학교 수 8, 마트 수 5 기준)"
23,전라남도 담양군 담양읍 금월리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.3312449634832,127.003268852288,정확(리 단위),담양읍,15532,상,1/12위,44,4.39,8,5,18,"담양남초등학교, 담양동초등학교, 국립목포대학교 담양캠퍼스, 담양중학교, 담양고등학교","죽녹원, 메타프로방스, 담양국수거리, 메타세쿼이아길 인증센터, 메타세쿼이아랜드",담양남초등학교|35.3181604826574|126.986574791542;;담양동초등학교|35.3210047077135|126.98342465375;;국립목포대학교 담양캠퍼스|35.32760684903847|126.99050073614369;;담양중학교|35.316349851112|126.980993108595;;담양고등학교|35.3144677552007|126.980333755453,죽녹원|35.32783714533351|126.98593088715316;;메타프로방스|35.32204414727564|127.00291216021685;;담양국수거리|35.32384052865535|126.9851144410004;;메타세쿼이아길 인증센터|35.33409191544845|127.0177791322334;;메타세쿼이아랜드|35.3320063558634|127.016894361298,100.0,89.1,66.7,89.1,주거,"주거 점수가 가장 높습니다 (학교 수 8, 마트 수 5 기준)"
24,전라남도 담양군 담양읍 삼다리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.3215043143917,126.961038019722,정확(리 단위),담양읍,15532,상,1/12위,44,4.39,8,5,18,"담양남초등학교, 담양동초등학교, 국립목포대학교 담양캠퍼스, 담양중학교, 담양고등학교","죽녹원, 메타프로방스, 담양국수거리, 메타세쿼이아길 인증센터, 메타세쿼이아랜드",담양남초등학교|35.3181604826574|126.986574791542;;담양동초등학교|35.3210047077135|126.98342465375;;국립목포대학교 담양캠퍼스|35.32760684903847|126.99050073614369;;담양중학교|35.316349851112|126.980993108595;;담양고등학교|35.3144677552007|126.980333755453,죽녹원|35.32783714533351|126.98593088715316;;메타프로방스|35.32204414727564|127.00291216021685;;담양국수거리|35.32384052865535|126.9851144410004;;메타세쿼이아길 인증센터|35.33409191544845|127.0177791322334;;메타세쿼이아랜드|35.3320063558634|127.016894361298,100.0,89.1,66.7,89.1,주거,"주거 점수가 가장 높습니다 (학교 수 8, 마트 수 5 기준)"
25,전라남도 담양군 담양읍 삼다리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.3215043143917,126.961038019722,정확(리 단위),담양읍,15532,상,1/12위,44,4.39,8,5,18,"담양남초등학교, 담양동초등학교, 국립목포대학교 담양캠퍼스, 담양중학교, 담양고등학교","죽녹원, 메타프로방스, 담양국수거리, 메타세쿼이아길 인증센터, 메타세쿼이아랜드",담양남초등학교|35.3181604826574|126.986574791542;;담양동초등학교|35.3210047077135|126.98342465375;;국립목포대학교 담양캠퍼스|35.32760684903847|126.99050073614369;;담양중학교|35.316349851112|126.980993108595;;담양고등학교|35.3144677552007|126.980333755453,죽녹원|35.32783714533351|126.98593088715316;;메타프로방스|35.32204414727564|127.00291216021685;;담양국수거리|35.32384052865535|126.9851144410004;;메타세쿼이아길 인증센터|35.33409191544845|127.0177791322334;;메타세쿼이아랜드|35.3320063558634|127.016894361298,100.0,89.1,66.7,89.1,주거,"주거 점수가 가장 높습니다 (학교 수 8, 마트 수 5 기준)"
26,전라남도 담양군 담양읍 삼다리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.3215043143917,126.961038019722,정확(리 단위),담양읍,15532,상,1/12위,44,4.39,8,5,18,"담양남초등학교, 담양동초등학교, 국립목포대학교 담양캠퍼스, 담양중학교, 담양고등학교","죽녹원, 메타프로방스, 담양국수거리, 메타세쿼이아길 인증센터, 메타세쿼이아랜드",담양남초등학교|35.3181604826574|126.986574791542;;담양동초등학교|35.3210047077135|126.98342465375;;국립목포대학교 담양캠퍼스|35.32760684903847|126.99050073614369;;담양중학교|35.316349851112|126.980993108595;;담양고등학교|35.3144677552007|126.980333755453,죽녹원|35.32783714533351|126.98593088715316;;메타프로방스|35.32204414727564|127.00291216021685;;담양국수거리|35.32384052865535|126.9851144410004;;메타세쿼이아길 인증센터|35.33409191544845|127.0177791322334;;메타세쿼이아랜드|35.3320063558634|127.016894361298,100.0,89.1,66.7,89.1,주거,"주거 점수가 가장 높습니다 (학교 수 8, 마트 수 5 기준)"
